Rater,lshift2,lshift1,sshift1,sshift2,Cb1,Cb2,est1,est2,r1,r2,,,,,,,,,,rater,l.shift,s.shift,Cb,est,r,method
1,0.122037698,-0.055141532,0.846553975,0.924019296,0.979093052,0.995377285,0.94120601,0.985660069,0.921528266,0.981103644,,,,,,,,,1,1,0.122037698,0.846553975,0.979093052,0.94120601,0.921528266,UNexp
2,-0.195355059,-0.000771558,0.664633236,0.869925891,0.906049034,0.990368815,0.525490597,0.961375825,0.476120247,0.952116637,,,,,,,,,2,2,-0.195355059,0.664633236,0.906049034,0.525490597,0.476120247,UNexp
3,-0.438525613,-0.048390314,0.540185851,0.916064926,0.774082095,0.99500892,0.359152105,0.968397724,0.278013214,0.963564374,,,,,,,,,3,3,-0.438525613,0.540185851,0.774082095,0.359152105,0.278013214,UNexp
4,0.173499367,0.033378518,0.798252524,0.915941841,0.961034398,0.995605228,0.867333984,0.972866047,0.833537793,0.968590522,,,,,,,,,4,4,0.173499367,0.798252524,0.961034398,0.867333984,0.833537793,UNexp
5,2.065255208,-0.024219409,0.286640247,1.051777502,0.248737256,0.998434698,0.19251407,0.974709214,0.047885422,0.9731835,,,,,,,,,5,5,2.065255208,0.286640247,0.248737256,0.19251407,0.047885422,UNexp
6,0.152439829,0.081775351,0.938834231,0.961425388,0.986571335,0.995899429,0.939200958,0.986139303,0.926588742,0.982095569,,,,,,,,,6,6,0.152439829,0.938834231,0.986571335,0.939200958,0.926588742,UNexp
7,0.064966103,0.004566792,1.002865673,0.962706101,0.99789007,0.999267752,0.922919503,0.986332707,0.920972207,0.985610467,,,,,,,,,7,7,0.064966103,1.002865673,0.99789007,0.922919503,0.920972207,UNexp
8,-0.071643751,-0.047166386,0.920775541,0.915691291,0.994060795,0.995031279,0.944824243,0.984724266,0.939212738,0.979831446,,,,,,,,,8,8,-0.071643751,0.920775541,0.994060795,0.944824243,0.939212738,UNexp
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,rater,l.shift,s.shift,Cb,est,r,method
,,,,,,,,,,,,,,,,,,,1,1,-0.055141532,0.924019296,0.995377285,0.985660069,0.981103644,LINexp
,,,,,,,,,,,,,,,,,,,2,2,-0.000771558,0.869925891,0.990368815,0.961375825,0.952116637,LINexp
,,,,,,,,,,,,,,,,,,,3,3,-0.048390314,0.916064926,0.99500892,0.968397724,0.963564374,LINexp
,,,,,,,,,,,,,,,,,,,4,4,0.033378518,0.915941841,0.995605228,0.972866047,0.968590522,LINexp
,,,,,,,,,,,,,,,,,,,5,5,-0.024219409,1.051777502,0.998434698,0.974709214,0.9731835,LINexp
,,,,,,,,,,,,,,,,,,,6,6,0.081775351,0.961425388,0.995899429,0.986139303,0.982095569,LINexp
,,,,,,,,,,,,,,,,,,,7,7,0.004566792,0.962706101,0.999267752,0.986332707,0.985610467,LINexp
,,,,,,,,,,,,,,,,,,,8,8,-0.047166386,0.915691291,0.995031279,0.984724266,0.979831446,LINexp
