rater,lshift1,lshift2,s.shift1,s.shift2,Cb1,Cb2,est1,est2,r1,r2
1,0.040795567,-0.108039596,0.654855817,0.899728935,0.915929657,0.988705352,0.676742996,0.978289207,0.61984898,0.967239774
2,-0.224837413,-0.05975472,0.686203342,1.03597453,0.911556593,0.997595867,0.495778835,0.985020001,0.451930466,0.982651882
3,-0.318881452,-0.03386587,0.591659229,0.965217073,0.839099802,0.998801265,0.439988295,0.98956616,0.369194091,0.988379932
4,-0.343060938,-0.037983895,0.559139118,0.997586809,0.8112624,0.999276217,0.371219317,0.987952864,0.301156274,0.987237801
5,-0.147695252,-0.016040198,0.530158353,0.996460513,0.820276874,0.999865088,0.263318616,0.992767287,0.215994171,0.992633351
6,0.097191701,-0.122364937,0.790682162,0.941436738,0.9685891,0.990777752,0.402719055,0.978445257,0.390069287,0.969421792
7,0.020527972,0.132032272,0.618694607,1.016036389,0.894685529,0.991234696,0.318145081,0.984370647,0.2846398,0.975742339
8,-0.116536989,-0.023647695,0.643505109,1.010396641,0.904537306,0.999667015,0.413925659,0.913649229,0.374411201,0.913344998
9,-0.250638228,0.080334796,0.73146404,0.942476049,0.925324137,0.995042376,0.507642734,0.97934448,0.469734075,0.974489259
10,-0.11471985,-0.010441249,0.664052545,0.968828706,0.916120838,0.999444343,0.526695273,0.993874969,0.482516515,0.993322716
11,-0.24957326,-0.103352007,0.591051231,0.903951627,0.852791637,0.989664366,0.504638425,0.959190471,0.430351429,0.949276629
12,-0.079517706,-0.027440539,0.797151768,0.9383594,0.971845114,0.997604682,0.664301056,0.990333054,0.645597735,0.987960891
